Country;Overall score;Electoral process and pluralism full democracies;Functioning of government;Political participation;Political culture;Civil liberties
Norway;9.93;10.00;9.64;10.00;10.00;10.00
Iceland  ;9.50;10.00;8.93;8.89;10.00;9.71
Sweden;9.39;9.58;9.64;8.33;10.00;9.41
New Zealand;9.26;10.00;9.29;8.89;8.13;10.00
Denmark;9.20;9.58;9.29;8.33;9.38;9.41
Canada ;9.15;9.58;9.64;7.78;8.75;10.00
Ireland;9.15;9.58;7.86;8.33;10.00;10.00
Switzerland ;9.09;9.58;9.29;7.78;9.38;9.41
Finland;9.03;10.00;8.93;7.78;8.75;9.71
Australia;9.01;9.58;8.93;7.78;8.75;10.00
Luxembourg  ;8.81;10.00;8.93;6.67;8.75;9.71
Netherlands  ;8.80;9.58;8.57;8.33;8.13;9.41
Germany;8.63;9.58;8.57;7.78;7.50;9.71
Austria;8.41;9.58;7.86;8.33;6.88;9.41
Malta;8.39;9.17;8.21;6.11;8.75;9.71
United Kingdom;8.36;9.58;7.14;7.22;8.75;9.12
Spain;8.30;9.58;7.14;7.22;8.13;9.41
Mauritius    ;8.28;9.17;8.21;5.56;8.75;9.71
Uruguay;8.17;10.00;8.93;4.44;7.50;10.00
Japan;7.99;8.75;8.21;6.67;7.50;8.82
United States of America;7.98;9.17;7.14;7.22;8.13;8.24
Italy =;7.98;9.58;6.43;7.22;8.13;8.53
Cabo Verde;7.94;9.17;7.86;6.67;6.88;9.12
France;7.92;9.58;7.14;7.78;6.25;8.82
South Korea;7.92;9.17;7.50;7.22;7.50;8.24
Costa Rica;7.88;9.58;7.14;6.11;6.88;9.71
Botswana;7.87;9.17;7.14;6.11;7.50;9.41
Portugal;7.86;9.58;6.79;6.67;6.88;9.41
Israel;7.85;9.58;7.86;6.11;6.88;8.82
Estonia;7.85;9.58;7.86;6.11;6.88;8.82
Czech Republic;7.82;9.58;7.14;6.67;6.88;8.82
India;7.81;9.58;7.50;7.22;5.63;9.12
Taiwan;7.79;9.58;8.21;6.11;5.63;9.41
Chile;7.78;9.58;8.57;4.44;6.88;9.41
Belgium;7.77;9.58;8.57;5.00;6.88;8.82
Cyprus;7.65;9.17;6.43;6.67;6.88;9.12
Slovenia;7.51;9.58;7.14;6.67;5.63;8.53
Lithuania;7.47;9.58;5.71;6.11;6.25;9.71
South Africa;7.41;7.92;7.86;8.33;5.00;7.94
Jamaica;7.39;9.17;6.79;5.00;6.88;9.12
Latvia;7.31;9.58;5.71;5.56;6.88;8.82
